date,hospital,icu,ventilator
2020-10-22,10686,992,
2020-10-23,11598,1049,
2020-10-24,12415,1128,
2020-10-25,13214,1208,
2020-10-26,14281,1284,
2020-10-27,15366,1411,
2020-10-28,16517,1536,
2020-10-29,17615,1651,
2020-10-30,18740,1746,
2020-10-31,19809,1843,
2020-11-01,20841,1939,
2020-11-02,21862,2022,
2020-11-03,23339,2225,
2020-11-04,24408,2292,
2020-11-05,25647,2391,
2020-11-06,26520,2515,
2020-11-07,27743,2634,
2020-11-08,29189,2749,
2020-11-09,30485,2849,
2020-11-10,31604,2971,
2020-11-11,32525,3081,
2020-11-12,33043,3170,
2020-11-13,34144,3230,
2020-11-14,34704,3306,
2020-11-15,35469,3422,
