date,hospital,icu,ventilator
2020/10/11,5443,146,
2020/10/12,5245,148,
2020/10/13,5162,150,
2020/10/14,5054,146,
2020/10/15,5176,148,
2020/10/16,5205,148,
2020/10/17,5326,145,
2020/10/18,5375,144,
2020/10/19,5174,143,
2020/10/20,5031,150,
2020/10/21,5037,150,
2020/10/22,5067,151,
2020/10/23,5216,155,
2020/10/24,5436,159,
2020/10/25,5503,162,
2020/10/26,5499,165,
2020/10/27,5446,166,
2020/10/28,5642,161,
2020/10/29,5848,156,
2020/10/30,6012,161,
2020/10/31,6246,160,
2020/11/1,6474,163,
2020/11/2,6469,163,
2020/11/3,6634,165,
2020/11/4,6707,183,
2020/11/5,7075,189,
2020/11/6,7501,194,
2020/11/7,7904,196,
